2026-08-26 15:13:40,191 | __main__ | INFO | Synthesizing Whiteboard Diagram: 'AI Finds Patterns'...
2026-08-26 15:17:19,326 | python.create_video | INFO | Silent video successfully assembled at: E:\ai_gen\AI-VIDEO-V2\temp\video.mp4
2026-08-26 15:17:19,328 | python.create_video | DEBUG | Cleaned up temporary scenes directory.
2026-08-26 15:17:19,328 | python.download_music | INFO | === STEP 7.5: DOWNLOAD BACKGROUND MUSIC ===
2026-08-26 15:17:19,702 | python.download_music | INFO | Asking Groq to determine viral audio profile for topic: 'Black Hole Race: AI, Nations, and Frozen Time'
2026-08-26 15:17:20,455 | python.download_music | INFO | Groq returned profile: ''
2026-08-26 15:17:20,456 | python.download_music | WARNING | Groq returned unrecognised profile ''. Falling back to 'viral-space-epic'.
2026-08-26 15:17:20,456 | python.download_music | INFO | Cleaning old music files from E:\ai_gen\AI-VIDEO-V2\assets\music
2026-08-26 15:17:20,460 | python.download_music | DEBUG | Removed old music file: background.mp3
2026-08-26 15:17:20,460 | python.download_music | INFO | Downloading 'viral-space-epic' music track from Pixabay CDN...
2026-08-26 15:17:20,460 | python.download_music | DEBUG | URL: https://incompetech.com/music/royalty-free/mp3-royaltyfree/Canon%20In%20D%20Interstellar%20Mix.mp3
2026-08-26 15:17:26,875 | python.download_music | INFO | Music downloaded successfully: background.mp3 (10.97 MB)
2026-08-26 15:17:26,875 | python.download_music | INFO | Step 7.5 complete. Music file ready at: E:\ai_gen\AI-VIDEO-V2\assets\music\background.mp3
2026-08-26 15:17:26,876 | python.add_audio | INFO | === STEP 8: ADD AUDIO ===
2026-08-26 15:17:26,878 | python.add_audio | INFO | Selected background music: background.mp3
2026-08-26 15:17:26,878 | utils.ffmpeg | INFO | Mixing audio — voice_vol=1.00, music_vol=0.30
2026-08-26 15:17:26,879 | utils.ffmpeg | DEBUG | FFprobe command: ffprobe -hide_banner -v quiet -print_format json -show_format E:\ai_gen\AI-VIDEO-V2\temp\video.mp4
2026-08-26 15:17:26,943 | utils.ffmpeg | DEBUG | Duration of video.mp4: 32.53s
2026-08-26 15:17:26,944 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -i E:\ai_gen\AI-VIDEO-V2\temp\video.mp4 -i E:\ai_gen\AI-VIDEO-V2\audio\voice.mp3 -i E:\ai_gen\AI-VIDEO-V2\assets\music\background.mp3 -filter_complex [1:a]volume=1.0,asplit=2[v_audio1][v_audio2];[2:a]aloop=loop=-1:size=2e+09,atrim=0:32.533008,volume=0.3[m_audio];[m_audio][v_audio1]sidechaincompress=threshold=0.12:ratio=4.5:attack=50:release=300[ducked_music];[v_audio2][ducked_music]amix=inputs=2:duration=first:dropout_transition=2[mixed] -map 0:v:0 -map [mixed] -c:v copy -c:a aac -b:a 192k -shortest E:\ai_gen\AI-VIDEO-V2\temp\video_audio.mp4
2026-08-26 15:17:27,518 | utils.ffmpeg | INFO | Audio-mixed video saved to video_audio.mp4
2026-08-26 15:17:27,519 | python.add_audio | INFO | Audio mixing completed successfully: E:\ai_gen\AI-VIDEO-V2\temp\video_audio.mp4
2026-08-26 15:17:27,519 | python.burn_subtitles | INFO | === STEP 9: BURN SUBTITLES ===
2026-08-26 15:17:27,519 | python.burn_subtitles | INFO | Burning subtitles. Font: 'Bebas Neue', Size: 22, BackColor: &H40000000
2026-08-26 15:17:27,520 | utils.ffmpeg | INFO | Burning subtitles from voice.srt with font=Bebas Neue size=22
2026-08-26 15:17:27,520 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -i E:\ai_gen\AI-VIDEO-V2\temp\video_audio.mp4 -vf subtitles='E\:/ai_gen/AI-VIDEO-V2/captions/voice.srt':fontsdir='E\:/ai_gen/AI-VIDEO-V2/assets/fonts':force_style='FontName=Bebas Neue,FontSize=22,PrimaryColour=&H00FFFFFF,SecondaryColour=&H00000000,OutlineColour=&H00000000,BackColour=&H40000000,BorderStyle=1,Outline=2.5,Shadow=1,Bold=1,Alignment=2,MarginV=60' -c:v libx264 -preset medium -crf 23 -pix_fmt yuv420p -c:a copy E:\ai_gen\AI-VIDEO-V2\output\short.mp4
2026-08-26 15:17:33,245 | utils.ffmpeg | INFO | Subtitled video saved to short.mp4
2026-08-26 15:17:33,245 | python.burn_subtitles | INFO | Subtitles burned successfully. Final output saved to: E:\ai_gen\AI-VIDEO-V2\output\short.mp4
2026-08-26 15:17:33,246 | python.generate_thumbnail | INFO | === STEP 10: GENERATE THUMBNAIL ===
2026-08-26 15:17:33,247 | python.generate_thumbnail | INFO | Attempting to generate thumbnail using Google GenAI SDK (Imagen)...
2026-08-26 15:17:35,270 | python.generate_thumbnail | INFO | Available API models: 50
2026-08-26 15:17:35,271 | python.generate_thumbnail | INFO | Attempting image generation with model 'imagen-4.0-generate-001'...
2026-08-26 15:17:35,667 | python.generate_thumbnail | WARNING | Model 'imagen-4.0-generate-001' failed to generate image: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/imagen-4.0-generate-001 is not found for API version v1beta, or is not supported for predict. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-08-26 15:17:35,668 | python.generate_thumbnail | INFO | Attempting image generation with model 'imagen-3.0-generate-002'...
2026-08-26 15:17:35,871 | python.generate_thumbnail | WARNING | Model 'imagen-3.0-generate-002' failed to generate image: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/imagen-3.0-generate-002 is not found for API version v1beta, or is not supported for predict. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-08-26 15:17:35,884 | python.generate_thumbnail | WARNING | All attempted Gemini Imagen models failed. Falling back to local design.
2026-08-26 15:17:35,885 | python.generate_thumbnail | INFO | Generating eye-catching local fallback thumbnail...
2026-08-26 15:17:35,886 | utils.ffmpeg | DEBUG | FFprobe command: ffprobe -hide_banner -v quiet -print_format json -show_format E:\ai_gen\AI-VIDEO-V2\output\short.mp4
2026-08-26 15:17:35,938 | utils.ffmpeg | DEBUG | Duration of short.mp4: 32.53s
2026-08-26 15:17:35,938 | python.generate_thumbnail | INFO | Extracting frame at 9.76s (30% of 32.53s)
2026-08-26 15:17:36,206 | python.generate_thumbnail | INFO | Using extracted video frame as thumbnail background.
2026-08-26 15:17:36,227 | python.generate_thumbnail | INFO | Loaded Cinzel font from E:\ai_gen\AI-VIDEO-V2\assets\fonts\Cinzel-Variable.ttf
2026-08-26 15:17:36,266 | python.generate_thumbnail | INFO | Eye-catching thumbnail saved at: E:\ai_gen\AI-VIDEO-V2\output\thumbnail.png
2026-08-26 15:17:36,269 | python.quality_checker | INFO | === STEP 2.6: RUN QUALITY CHECKER ===
2026-08-26 15:17:36,482 | python.quality_checker | INFO | Calling Groq for quality review...
2026-08-26 15:17:38,549 | python.quality_checker | INFO | Script QualityScore PASSED: 8.50/10.0 (Target: >= 8.5).
2026-08-26 15:17:38,549 | python.publish_service | INFO | === Publish Service started ===
2026-08-26 15:17:38,550 | python.publish_service | INFO | Publishing to platforms: ['youtube', 'facebook', 'instagram']
2026-08-26 15:17:38,550 | python.publish_service | INFO | Uploading to youtube …
2026-08-26 15:17:38,551 | upload_youtube | INFO | === STEP 11: UPLOAD TO YOUTUBE ===
2026-08-26 15:17:38,569 | upload_youtube | INFO | Daily upload usage: 3/5 completed today in timezone Asia/Kolkata.
2026-08-26 15:17:38,600 | upload_youtube | INFO | Video Title: 'The HIDDEN Truth About Falling Into A Black Hole EXPOSED 😱 #Shorts'
2026-08-26 15:17:38,613 | upload_youtube | INFO | Privacy Status: 'public'
2026-08-26 15:17:38,614 | upload_youtube | INFO | Category ID: '28'
2026-08-26 15:17:38,618 | upload_youtube | INFO | Initializing video upload stream...
2026-08-26 15:17:38,619 | upload_youtube | DEBUG | [API Request] POST https://youtube.googleapis.com/upload/youtube/v3/videos?part=snippet%2Cstatus%2Clocalizations&alt=json&uploadType=resumable
2026-08-26 15:17:40,302 | upload_youtube | DEBUG | [API Response] Status: 200
2026-08-26 15:17:40,304 | upload_youtube | DEBUG | [API Request] PUT https://youtube.googleapis.com/upload/youtube/v3/videos?part=snippet%2Cstatus%2Clocalizations&alt=json&uploadType=resumable&upload_id=AJjja9btjQTKoFlmueQ8imwCRF0UhMD5F9h14fhVQQQwMebbBPgDWkV9ARq_Ezf-J7chZSPn_klxGsgFiRwBQf7iOIAg20YPwctJN--UaqNZ440
2026-08-26 15:17:43,784 | upload_youtube | DEBUG | [API Response] Status: 308
2026-08-26 15:17:43,785 | upload_youtube | INFO | Uploading... 53% complete.
2026-08-26 15:17:43,786 | upload_youtube | DEBUG | [API Request] PUT https://youtube.googleapis.com/upload/youtube/v3/videos?part=snippet%2Cstatus%2Clocalizations&alt=json&uploadType=resumable&upload_id=AJjja9btjQTKoFlmueQ8imwCRF0UhMD5F9h14fhVQQQwMebbBPgDWkV9ARq_Ezf-J7chZSPn_klxGsgFiRwBQf7iOIAg20YPwctJN--UaqNZ440
2026-08-26 15:17:47,956 | upload_youtube | DEBUG | [API Response] Status: 200
2026-08-26 15:17:47,958 | upload_youtube | INFO | Video uploaded successfully! Video ID: KYvSfJXFPyw
2026-08-26 15:17:47,958 | upload_youtube | INFO | Uploading custom thumbnail thumbnail.png for video KYvSfJXFPyw...
2026-08-26 15:17:48,006 | upload_youtube | DEBUG | [API Request] POST https://youtube.googleapis.com/upload/youtube/v3/thumbnails/set?videoId=KYvSfJXFPyw&alt=json&uploadType=media
2026-08-26 15:17:53,590 | upload_youtube | DEBUG | [API Response] Status: 200
2026-08-26 15:17:53,591 | upload_youtube | INFO | Custom thumbnail successfully uploaded and linked to video.
2026-08-26 15:17:53,592 | upload_youtube | INFO | Upload complete! Watch your video here: https://youtube.com/shorts/KYvSfJXFPyw
2026-08-26 15:17:53,595 | upload_youtube | DEBUG | [API Request] POST https://youtube.googleapis.com/youtube/v3/commentThreads?part=snippet&alt=json
2026-08-26 15:17:54,611 | upload_youtube | DEBUG | [API Response] Status: 200
2026-08-26 15:17:54,612 | upload_youtube | INFO | Successfully posted auto-comment on video KYvSfJXFPyw
2026-08-26 15:17:54,641 | upload_youtube | INFO | Central database video status updated to 'uploaded' for YouTube ID: KYvSfJXFPyw
2026-08-26 15:17:54,656 | upload_youtube | INFO | Platform youtube.db video status updated to 'uploaded' for YouTube ID: KYvSfJXFPyw
2026-08-26 15:17:54,657 | python.publish_service | INFO | Youtube upload succeeded: https://youtube.com/shorts/KYvSfJXFPyw
2026-08-26 15:17:54,657 | python.publish_service | INFO | Uploading to facebook …
2026-08-26 15:17:54,658 | upload_facebook | INFO | === Facebook Upload — start ===
2026-08-26 15:17:54,659 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:17:54,659 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:17:54,660 | meta_auth | INFO | Validating access token via debug_token endpoint …
2026-08-26 15:17:55,251 | meta_auth | INFO | Token info — type: USER | scopes: manage_fundraisers, read_insights, publish_video, catalog_management, pages_show_list, ads_management, ads_read, business_management, pages_messaging, instagram_basic, instagram_manage_comments, instagram_manage_insights, instagram_content_publish, leads_retrieval, instagram_manage_messages, pages_read_engagement, pages_manage_metadata, pages_read_user_content, pages_manage_ads, pages_manage_posts, pages_manage_engagement, instagram_branded_content_brand, instagram_branded_content_creator, instagram_branded_content_ads_brand, instagram_manage_upcoming_events, instagram_creator_marketplace_discovery, instagram_manage_contents, instagram_manage_engagement, public_profile | expires: never
2026-08-26 15:17:55,252 | meta_auth | INFO | Access token is valid.
2026-08-26 15:17:55,254 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:17:55,254 | meta_auth | INFO | Fetching Page access token for page 1168804842990122 …
2026-08-26 15:17:55,841 | meta_auth | INFO | Page access token retrieved successfully for page 1168804842990122.
2026-08-26 15:17:55,843 | upload_facebook | INFO | Phase 1/3: Initializing Reel upload for page 1168804842990122…
2026-08-26 15:17:57,684 | upload_facebook | INFO | Start phase succeeded — video_id=2489699728188078
2026-08-26 15:17:57,685 | upload_facebook | INFO | Phase 2/3: Uploading binary (1958568 bytes)…
2026-08-26 15:18:01,168 | upload_facebook | INFO | Binary upload succeeded.
2026-08-26 15:18:01,169 | upload_facebook | INFO | Phase 3/3: Finishing Reel upload…
2026-08-26 15:18:06,388 | upload_facebook | INFO | Reel published successfully: https://www.facebook.com/122123028351388418#video_id=2489699728188078
2026-08-26 15:18:06,420 | upload_facebook | INFO | Central database updated — facebook_id=2489699728188078, facebook_url=https://www.facebook.com/122123028351388418
2026-08-26 15:18:06,428 | upload_facebook | INFO | Platform facebook.db updated — facebook_id=2489699728188078, facebook_url=https://www.facebook.com/122123028351388418
2026-08-26 15:18:06,428 | upload_facebook | INFO | === Facebook Upload — done ===
2026-08-26 15:18:06,429 | python.publish_service | INFO | Facebook upload succeeded: https://www.facebook.com/122123028351388418
2026-08-26 15:18:06,429 | python.publish_service | INFO | Uploading to instagram …
2026-08-26 15:18:06,434 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:06,435 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:06,435 | meta_auth | INFO | Validating access token via debug_token endpoint …
2026-08-26 15:18:07,001 | meta_auth | INFO | Token info — type: USER | scopes: manage_fundraisers, read_insights, publish_video, catalog_management, pages_show_list, ads_management, ads_read, business_management, pages_messaging, instagram_basic, instagram_manage_comments, instagram_manage_insights, instagram_content_publish, leads_retrieval, instagram_manage_messages, pages_read_engagement, pages_manage_metadata, pages_read_user_content, pages_manage_ads, pages_manage_posts, pages_manage_engagement, instagram_branded_content_brand, instagram_branded_content_creator, instagram_branded_content_ads_brand, instagram_manage_upcoming_events, instagram_creator_marketplace_discovery, instagram_manage_contents, instagram_manage_engagement, public_profile | expires: never
2026-08-26 15:18:07,002 | meta_auth | INFO | Access token is valid.
2026-08-26 15:18:07,003 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:07,003 | meta_auth | INFO | Fetching Page access token for page 1168804842990122 …
2026-08-26 15:18:07,617 | meta_auth | INFO | Page access token retrieved successfully for page 1168804842990122.
2026-08-26 15:18:08,435 | upload_instagram | INFO | Facebook source URL not ready yet (status=processing) – retrying in 5s...
2026-08-26 15:18:16,238 | upload_instagram | INFO | Facebook source URL not ready yet (status=processing) – retrying in 5s...
2026-08-26 15:18:22,268 | upload_instagram | INFO | Facebook source URL not ready yet (status=processing) – retrying in 5s...
2026-08-26 15:18:27,994 | upload_instagram | INFO | Retrieved direct Facebook video source URL (attempt 4): https://scontent.faip2-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQP9qEUUG2dnoqKp6xstnlmVD2LTNaUN9OgsOwbvP5k2wHoAYqh1ArGjcc3HmAEljG9NQk-6PC4pUxnQNn8LtUL23Kpc32_sqfEfXRoIez24AA.mp4?_nc_cat=101&_nc_oc=AdrqkyteSclifMOcnosNKWWdUWiooMG0fUUnUEhulXCdN_wWINqzdBK_gheAxjky5as&_nc_sid=5e9851&_nc_ht=scontent.faip2-1.fna.fbcdn.net&_nc_ohc=uYeSDMObdFsQ7kNvwFtBpfP&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIwNjQwNTA1NDQyMDM2MzksImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDEyNywiZHVyYXRpb25fcyI6MzIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=5142be36fff27fe1&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9EQjQyMTk0QkZENDJFRUQ1NzQwREE0RUZFRDE5MUM5Ml9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50Lzg1NEM1RTcwMkRFRUE0RjhEMTc2NUQ4QzJDMEU0OThCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbu3eL3xs-qBxUCKAJDMywXQEBEOVgQYk4YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUCZZ6eAQA&_nc_gid=oUdkNHseshd5gkjVIpa7Lg&edm=APRAPSkEAAAA&_nc_zt=28&_nc_tpa=Q5bMBQJR_I31tSjy60cxNj3dhwn7nXf9Az0ANhfB1Sh98jQL2WLdm0224Dt4J3AX7HHX0wjmHmnWcqW3Xw&oh=00_AQElUxQ2P2cU81NVcu1T4LCjU1SuaV8cwA9ac4oDIkMwPg&oe=6A949EAB&bitrate=247246&tag=dash_h264-basic-gen2_720p
2026-08-26 15:18:27,995 | upload_instagram | INFO | Using direct Facebook source CDN URL for Instagram: https://scontent.faip2-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQP9qEUUG2dnoqKp6xstnlmVD2LTNaUN9OgsOwbvP5k2wHoAYqh1ArGjcc3HmAEljG9NQk-6PC4pUxnQNn8LtUL23Kpc32_sqfEfXRoIez24AA.mp4?_nc_cat=101&_nc_oc=AdrqkyteSclifMOcnosNKWWdUWiooMG0fUUnUEhulXCdN_wWINqzdBK_gheAxjky5as&_nc_sid=5e9851&_nc_ht=scontent.faip2-1.fna.fbcdn.net&_nc_ohc=uYeSDMObdFsQ7kNvwFtBpfP&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIwNjQwNTA1NDQyMDM2MzksImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDEyNywiZHVyYXRpb25fcyI6MzIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=5142be36fff27fe1&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9EQjQyMTk0QkZENDJFRUQ1NzQwREE0RUZFRDE5MUM5Ml9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50Lzg1NEM1RTcwMkRFRUE0RjhEMTc2NUQ4QzJDMEU0OThCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbu3eL3xs-qBxUCKAJDMywXQEBEOVgQYk4YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUCZZ6eAQA&_nc_gid=oUdkNHseshd5gkjVIpa7Lg&edm=APRAPSkEAAAA&_nc_zt=28&_nc_tpa=Q5bMBQJR_I31tSjy60cxNj3dhwn7nXf9Az0ANhfB1Sh98jQL2WLdm0224Dt4J3AX7HHX0wjmHmnWcqW3Xw&oh=00_AQElUxQ2P2cU81NVcu1T4LCjU1SuaV8cwA9ac4oDIkMwPg&oe=6A949EAB&bitrate=247246&tag=dash_h264-basic-gen2_720p
2026-08-26 15:18:27,996 | upload_instagram | INFO | Local video file found (E:\ai_gen\AI-VIDEO-V2\output\short.mp4) – using resumable upload.
2026-08-26 15:18:27,998 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:27,998 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:27,999 | meta_auth | INFO | Validating access token via debug_token endpoint …
2026-08-26 15:18:28,611 | meta_auth | INFO | Token info — type: USER | scopes: manage_fundraisers, read_insights, publish_video, catalog_management, pages_show_list, ads_management, ads_read, business_management, pages_messaging, instagram_basic, instagram_manage_comments, instagram_manage_insights, instagram_content_publish, leads_retrieval, instagram_manage_messages, pages_read_engagement, pages_manage_metadata, pages_read_user_content, pages_manage_ads, pages_manage_posts, pages_manage_engagement, instagram_branded_content_brand, instagram_branded_content_creator, instagram_branded_content_ads_brand, instagram_manage_upcoming_events, instagram_creator_marketplace_discovery, instagram_manage_contents, instagram_manage_engagement, public_profile | expires: never
2026-08-26 15:18:28,611 | meta_auth | INFO | Access token is valid.
2026-08-26 15:18:28,612 | upload_instagram | INFO | Creating resumable Instagram container for account 17841435307918273 …
2026-08-26 15:18:29,753 | upload_instagram | INFO | Resumable container created: 18094342802176931
